"LED139","NA","NSL_SPARKFUN_LED-1206","45720","33274","0","0"
"LED140","NA","NSL_SPARKFUN_LED-1206","45720","36830","0","0"
"LED141","NA","NSL_SPARKFUN_LED-1206","45720","40386","0","0"
"LED142","NA","NSL_SPARKFUN_LED-1206","45720","43942","0","0"
"LED143","NA","NSL_SPARKFUN_LED-1206","45720","47498","0","0"
"LED144","NA","NSL_SPARKFUN_LED-1206","45720","51054","0","0"
"R10","NA","0805","-2032","-508","0","0"
"R11","NA","0805","4826","-508","0","0"
"R12","NA","0805","11176","-508","0","0"
"R13","NA","0805","17780","-508","0","0"
"R14","NA","0805","24384","-508","0","0"
"R15","NA","0805","30988","-508","0","0"
"R16","NA","0805","44196","-508","0","0"
"R17","NA","0805","37592","-508","0","0"
"R18","NA","0805","4826","3048","0","0"
"R19","NA","0805","-2032","3048","0","0"
"R20","NA","0805","11176","3048","0","0"
"R21","NA","0805","17780","3048","0","0"
"R22","NA","0805","24384","3048","0","0"
"R23","NA","0805","30988","3048","0","0"
"R24","NA","0805","-2032","10160","0","0"
"R25","NA","0805","30988","10160","0","0"
"R26","NA","0805","4826","10160","0","0"
"R27","NA","0805","37592","10160","0","0"
"R28","NA","0805","11176","10160","0","0"
"R29","NA","0805","44196","10160","0","0"
"R30","NA","0805","17780","10160","0","0"
"R31","NA","0805","24384","10160","0","0"
"R32","NA","0805","11176","38608","0","0"
"R33","NA","0805","11176","42164","0","0"
"R34","NA","0805","4826","45720","0","0"
"R35","NA","0805","-2032","45720","0","0"
"R36","NA","0805","11176","45720","0","0"
"R37","NA","0805","17780","45720","0","0"
"R40","NA","0805","4826","42164","0","0"
"R41","NA","0805","-2032","42164","0","0"
"R42","NA","0805","4826","38608","0","0"
"R43","NA","0805","-2032","38608","0","0"
"R45","NA","0805","4851","27940","180","0"
"R46","NA","0805","-2007","27940","0","0"
"R47","NA","0805","44221","13716","0","0"
"R48","NA","0805","37592","13716","0","0"
"R49","NA","0805","31013","13716","0","0"
"R50","NA","0805","11201","13716","0","0"
"R51","NA","0805","24409","13716","0","0"
"R52","NA","0805","17805","13716","0","0"
"R53","NA","0805","44221","17272","0","0"
"R54","NA","0805","4851","20828","0","0"
"R55","NA","0805","17755","24359","0","0"
"R56","NA","0805","-2007","20828","0","0"
"R57","NA","0805","-2032","24460","0","0"
"R58","NA","0805","30988","24384","0","0"
"R59","NA","0805","24359","24460","0","0"
"R60","NA","0805","44221","24384","0","0"
"R61","NA","0805","37719","24486","0","0"
"R62","NA","0805","4826","24384","0","0"
"6XSMD1","NA","95293-401A06LF","16002","48260","0","1"
"6XSMD2","NA","95293-401A06LF","-2032","48260","0","1"
"C1","4.7uF","EIA3216-KIT","14732","33782","90","1"
"C2","3.3pf","0805","4826","43942","0","1"
"C3","4.7uF","0805","7874","41402","270","1"
"D1","NA","SMA-DIODE_ALT","1016","36068","270","1"
"IC1","TPS61040","SOT-23","4826","41402","90","1"
"IC2","TLC5947XLP","QFN32_XLP","6276","26416","45","1"
"JP1","NA","1X3SMD","13005","38100","270","1"
"JP2","NA","1X08SMD","21996","0","0","1"
